Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Michael Jordan,1985,2003,1072,38.3,30.1,6.2,5.3,2.3,0.8,0.497,0.327,0.835,214,0.25
2,Wilt Chamberlain,1960,1973,1045,45.8,30.1,22.9,4.4,,,0.54,,0.511,247.3,0.248
3,Bill Russell,1957,1969,963,42.3,15.1,22.5,4.3,,,0.44,,0.561,163.5,0.193
4,Shaquille O'Neal,1993,2011,1207,34.7,23.7,10.9,2.5,0.6,2.3,0.582,0.045,0.527,181.7,0.208
5,Oscar Robertson,1961,1974,1040,42.2,25.7,7.5,9.5,1.1,0.1,0.485,,0.838,189.2,0.207
6,Magic Johnson,1980,1996,906,36.7,19.5,7.2,11.2,1.9,0.4,0.52,0.303,0.848,155.8,0.225
7,Kareem Abdul-Jabbar,1970,1989,1560,36.8,24.6,11.2,3.6,0.9,2.6,0.559,0.056,0.721,273.4,0.228
8,Tim Duncan,1998,2016,1392,34,19,10.8,3,0.7,2.2,0.506,0.179,0.696,206.4,0.209
9,Larry Bird,1980,1992,897,38.4,24.3,10,6.3,1.7,0.8,0.496,0.376,0.886,145.8,0.203
10,Kobe Bryant,1997,2016,1346,36.1,25,5.2,4.7,1.4,0.5,0.447,0.329,0.837,172.7,0.17
11,Jerry West,1961,1974,932,39.2,27,5.8,6.7,2.6,0.7,0.474,,0.814,162.6,0.213
12,Elgin Baylor,1959,1972,846,40,27.4,13.5,4.3,,,0.431,,0.78,104.2,0.148
13,Hakeem Olajuwon,1985,2002,1238,35.7,21.8,11.1,2.5,1.7,3.1,0.512,0.202,0.712,162.8,0.177
14,Bob Pettit,1955,1965,792,38.8,26.4,16.2,3,,,0.436,,0.761,136,0.213
15,Moses Malone,1977,1995,1329,33.9,20.6,12.2,1.4,0.8,1.3,0.491,0.1,0.769,167.1,0.178
16,Julius Erving,1977,1987,836,34.3,22,6.7,3.9,1.8,1.5,0.507,0.261,0.777,106.2,0.178
17,John Havlicek,1963,1978,1270,36.6,20.8,6.3,4.8,1.2,0.3,0.439,,0.815,131.7,0.136
18,Karl Malone,1986,2004,1476,37.2,25,10.1,3.6,1.4,0.8,0.516,0.274,0.742,234.6,0.205
19,Isiah Thomas,1982,1994,979,36.3,19.2,3.6,9.3,1.9,0.3,0.452,0.29,0.759,80.7,0.109
20,Charles Barkley,1985,2000,1073,36.7,22.1,11.7,3.9,1.5,0.8,0.541,0.266,0.735,177.2,0.216
21,Rick Barry,1966,1980,794,36.3,23.2,6.5,5.1,2,0.5,0.449,0.33,0.9,93.4,0.156
22,John Stockton,1985,2003,1504,31.8,13.1,2.7,10.5,2.2,0.2,0.515,0.384,0.826,207.7,0.209
23,Elvin Hayes,1969,1984,1303,38.4,21,12.5,1.8,1,2,0.452,0.147,0.67,120.8,0.116
24,Bob Cousy,1951,1970,924,35.3,18.4,5.2,7.5,,,0.375,,0.803,91.1,0.139
25,David Robinson,1990,2003,987,34.7,21.1,10.6,2.5,1.4,3,0.518,0.25,0.736,178.7,0.25
26,Kevin McHale,1981,1993,971,31,17.9,7.3,1.7,0.4,1.7,0.554,0.261,0.798,113,0.18
27,Scottie Pippen,1988,2004,1178,34.9,16.1,6.4,5.2,2,0.8,0.473,0.326,0.704,125.1,0.146
28,Jason Kidd,1995,2013,1391,36,12.6,6.3,8.7,1.9,0.3,0.4,0.349,0.785,138.6,0.133
29,George Mikan,1949,1956,439,34.4,23.1,13.4,2.8,,,0.404,,0.782,108.7,0.249
30,Kevin Garnett,1996,2016,1462,34.5,17.8,10,3.7,1.3,1.4,0.497,0.275,0.789,191.4,0.182
31,LeBron James,2004,2019,1198,38.6,27.2,7.4,7.2,1.6,0.8,0.504,0.343,0.736,226.6,0.235
32,Willis Reed,1965,1974,650,35.5,18.7,12.9,1.8,0.6,1.1,0.476,,0.747,74.9,0.156
33,Wes Unseld,1969,1981,984,36.4,10.8,14,3.9,1.1,0.6,0.509,0.5,0.633,110.1,0.147
34,Nate Thurmond,1964,1977,964,37.2,15,15,2.7,0.5,2.1,0.421,,0.667,78,0.104
35,Dolph Schayes,1950,1964,996,34.4,18.5,12.1,3.1,,,0.38,,0.849,142.4,0.192
36,Walt Frazier,1968,1980,825,37.5,18.9,5.9,6.1,1.9,0.2,0.49,0,0.786,113.5,0.176
37,Patrick Ewing,1986,2002,1183,34.3,21,9.8,1.9,1,2.4,0.504,0.152,0.74,126.4,0.15
38,Jerry Lucas,1964,1974,829,38.8,17,15.6,3.3,0.4,0.3,0.499,,0.783,98.4,0.147
39,Gary Payton,1991,2007,1335,35.3,16.3,3.9,6.7,1.8,0.2,0.466,0.317,0.729,145.5,0.148
40,Allen Iverson,1997,2010,914,41.1,26.7,3.7,6.2,2.2,0.2,0.425,0.313,0.78,99,0.126
41,Billy Cunningham,1966,1976,654,34.3,20.8,10.1,4,1.2,0.5,0.446,,0.72,63.2,0.135
42,Clyde Drexler,1984,1998,1086,34.6,20.4,6.1,5.6,2,0.7,0.472,0.318,0.788,135.6,0.173
43,Dominique Wilkins,1983,1999,1074,35.5,24.8,6.7,2.5,1.3,0.6,0.461,0.319,0.811,117.5,0.148
44,Dave Cowens,1971,1983,766,38.6,17.6,13.6,3.8,1.1,0.9,0.46,0.071,0.783,86.3,0.14
45,George Gervin,1977,1986,791,33.5,26.2,4.6,2.8,1.2,0.8,0.511,0.297,0.844,88.1,0.159
