,Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Position,HoF,Years Played
0,1.0,Michael Jordan,1985.0,2003.0,1072.0,38.3,30.1,6.2,5.3,2.3,0.8,0.49700000000000005,0.327,0.835,214.0,0.25,SG,1,18.0
1,2.0,Wilt Chamberlain,1960.0,1973.0,1045.0,45.8,30.1,22.9,4.4,0.6,1.4,0.54,0.1175,0.511,247.3,0.248,C,1,13.0
2,3.0,Bill Russell,1957.0,1969.0,963.0,42.3,15.1,22.5,4.3,0.6,1.4,0.44,0.1175,0.561,163.5,0.193,C,1,12.0
3,4.0,Shaquille O'Neal,1993.0,2011.0,1207.0,34.7,23.7,10.9,2.5,0.6,2.3,0.5820000000000001,0.045,0.527,181.7,0.20800000000000002,C,1,18.0
4,5.0,Oscar Robertson,1961.0,1974.0,1040.0,42.2,25.7,7.5,9.5,1.1,0.1,0.485,0.325,0.838,189.2,0.207,PG,1,13.0
5,6.0,Magic Johnson,1980.0,1996.0,906.0,36.7,19.5,7.2,11.2,1.9,0.4,0.52,0.303,0.848,155.8,0.225,PG,1,16.0
6,7.0,Kareem Abdul-Jabbar,1970.0,1989.0,1560.0,36.8,24.6,11.2,3.6,0.9,2.6,0.5589999999999999,0.055999999999999994,0.721,273.4,0.228,C,1,19.0
7,8.0,Tim Duncan,1998.0,2016.0,1392.0,34.0,19.0,10.8,3.0,0.7,2.2,0.506,0.179,0.696,206.4,0.209,C,0,18.0
8,9.0,Larry Bird,1980.0,1992.0,897.0,38.4,24.3,10.0,6.3,1.7,0.8,0.496,0.376,0.8859999999999999,145.8,0.203,PF,1,12.0
9,10.0,Kobe Bryant,1997.0,2016.0,1346.0,36.1,25.0,5.2,4.7,1.4,0.5,0.447,0.32899999999999996,0.8370000000000001,172.7,0.17,SG,0,19.0
10,11.0,Jerry West,1961.0,1974.0,932.0,39.2,27.0,5.8,6.7,2.6,0.7,0.474,0.325,0.8140000000000001,162.6,0.213,PG,1,13.0
11,12.0,Elgin Baylor,1959.0,1972.0,846.0,40.0,27.4,13.5,4.3,1.0,0.4,0.431,0.3305,0.78,104.2,0.14800000000000002,SF,1,13.0
12,13.0,Hakeem Olajuwon,1985.0,2002.0,1238.0,35.7,21.8,11.1,2.5,1.7,3.1,0.512,0.20199999999999999,0.7120000000000001,162.8,0.177,C,1,17.0
13,14.0,Bob Pettit,1955.0,1965.0,792.0,38.8,26.4,16.2,3.0,0.8,0.8,0.436,0.17600000000000002,0.7609999999999999,136.0,0.213,PF,1,10.0
14,15.0,Moses Malone,1977.0,1995.0,1329.0,33.9,20.6,12.2,1.4,0.8,1.3,0.491,0.1,0.769,167.1,0.17800000000000002,PF,1,18.0
15,16.0,Julius Erving,1977.0,1987.0,836.0,34.3,22.0,6.7,3.9,1.8,1.5,0.507,0.261,0.777,106.2,0.17800000000000002,SF,1,10.0
16,17.0,John Havlicek,1963.0,1978.0,1270.0,36.6,20.8,6.3,4.8,1.2,0.3,0.439,0.3305,0.815,131.7,0.136,SF,1,15.0
17,18.0,Karl Malone,1986.0,2004.0,1476.0,37.2,25.0,10.1,3.6,1.4,0.8,0.516,0.27399999999999997,0.742,234.6,0.205,PF,1,18.0
18,19.0,Isiah Thomas,1982.0,1994.0,979.0,36.3,19.2,3.6,9.3,1.9,0.3,0.452,0.29,0.759,80.7,0.109,PG,1,12.0
19,20.0,Charles Barkley,1985.0,2000.0,1073.0,36.7,22.1,11.7,3.9,1.5,0.8,0.541,0.266,0.735,177.2,0.21600000000000003,PF,1,15.0
20,21.0,Rick Barry,1966.0,1980.0,794.0,36.3,23.2,6.5,5.1,2.0,0.5,0.449,0.33,0.9,93.4,0.156,SF,1,14.0
